Theme,Sub Theme,Feature Name,Co-ordinates,lat,lon
Community Use,Public Buildings,Conservatory,"-37.814002127195, 144.9785597431",-37.814002127195,144.9785597431
Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,"-37.8133854259085, 144.954027907736",-37.8133854259085,144.954027907736
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,"-37.8144604899837, 144.979471339826",-37.8144604899837,144.979471339826
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,"-37.80460262432, 144.971521914952",-37.80460262432,144.971521914952
Community Use,Public Buildings,Melbourne Childrens Court,"-37.8125077646598, 144.958298873269",-37.8125077646598,144.958298873269
Community Use,Public Buildings,County Court Melbourne,"-37.8132011619962, 144.957734246387",-37.8132011619962,144.957734246387
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"-37.8077644149636, 144.965463853978",-37.8077644149636,144.965463853978
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,"-37.8035518129299, 144.971690718887",-37.8035518129299,144.971690718887
Community Use,Public Buildings,Elisabeth Murdoch Hall,"-37.8239733704282, 144.967450979234",-37.8239733704282,144.967450979234
Community Use,Public Buildings,Melbourne Recital Centre,"-37.8238327885805, 144.967682729667",-37.8238327885805,144.967682729667
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,"-37.8107686127655, 144.96923385414",-37.8107686127655,144.96923385414
Community Use,Public Buildings,Sidney Myer Music Bowl,"-37.8233471608733, 144.974686151365",-37.8233471608733,144.974686151365
Place Of Assembly,Art Gallery/Museum,Immigration Museum,"-37.8191798798062, 144.960426777129",-37.8191798798062,144.960426777129
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,"-37.8085761281612, 144.975373745366",-37.8085761281612,144.975373745366
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,"-37.8188662730911, 144.9839700954",-37.8188662730911,144.9839700954
Community Use,Public Buildings,Melbourne Theatre Company,"-37.823930384816, 144.968297429894",-37.823930384816,144.968297429894
Community Use,Public Buildings,Shrine of Remembrance,"-37.8302080020387, 144.973441913623",-37.8302080020387,144.973441913623
Community Use,Public Buildings,Commonwealth Law Courts,"-37.8123961677596, 144.955823833257",-37.8123961677596,144.955823833257
Place Of Assembly,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064",-37.8242574266145,144.953478052064
Community Use,Public Buildings,Melbourne Town Hall,"-37.8150754791411, 144.966542722283",-37.8150754791411,144.966542722283
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343",-37.8174831423197,144.969899048343
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,"-37.8222182774409, 144.954039975197",-37.8222182774409,144.954039975197
Community Use,Visitor Centre,Melbourne Visitor Centre,"-37.8177352402006, 144.967937138226",-37.8177352402006,144.967937138226
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"-37.8176107327202, 144.969070431323",-37.8176107327202,144.969070431323
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,"-37.8145407488014, 144.980554992725",-37.8145407488014,144.980554992725
Community Use,Visitor Centre,Melbourne Visitor Booth,"-37.8139525061193, 144.964425882562",-37.8139525061193,144.964425882562
